player_id,Player,2025-26,2026-27,2027-28,2028-29
UNMAPPED,C. Murray-Boyles,"$6,332,520","$6,649,560","T$6,966,000","T$8,874,684"
willima01,Mark Williams,"$6,276,531","Q$8,774,591",-,-
sharpda01,Day'Ron Sharpe,"$6,250,000","T$6,250,000",-,-
willizi01,Ziaire Williams,"$6,250,000","T$6,250,000",-,-
konchjo01,John Konchar,"$6,165,000","$6,165,000",-,-
hendrta01,Taylor Hendricks,"$6,127,080","$7,805,900","Q$11,357,175",-
beysa01,Saddiq Bey,"$6,118,644","$6,440,678",-,-
edeyza01,Zach Edey,"$6,045,000","$6,332,760","T$8,067,936","Q$11,738,846"
maluakh01,Khaman Maluach,"$6,016,080","$6,316,680","T$6,617,160","T$8,436,880"
laravja01,Jake LaRavia,"$6,000,000","$6,000,000",-,-
hardyja01,Jaden Hardy,"$6,000,000","$6,000,000","T$6,000,000",-
thomaca01,Cam Thomas,"$5,993,172",-,-,-
wallaca01,Cason Wallace,"$5,820,487","$7,421,121","Q$10,849,678",-
willico01,Cody Williams,"$5,742,480","$6,015,600","T$7,669,890","Q$11,213,379"
cowarce01,Cedric Coward,"$5,715,120","$6,001,080","T$6,286,920","T$8,342,743"
horfoal01,Al Horford,"$5,685,000","P$5,969,250",-,-
russeda01,D'Angelo Russell,"$5,685,000","P$5,969,250",-,-
easonta01,Tari Eason,"$5,675,766","Q$8,014,181",-,-
UNMAPPED,H. Highsmith,"$5,616,000",-,-,-
batumni01,Nicolas Batum,"$5,601,600","T$5,881,680",-,-
howarje01,Jett Howard,"$5,529,506",-,-,-
UNMAPPED,G. Yabusele,"$5,500,000","P$5,775,000",-,-
buzelma01,Matas Buzelis,"$5,455,560","$5,715,360","T$7,584,283","Q$11,141,311"
essenno01,Noa Essengue,"$5,429,520","$5,701,200","T$5,972,760","T$8,230,464"
UNMAPPED,Dario Saric,"$5,426,400",-,-,-
dunnkr01,Kris Dunn,"$5,426,400","T$5,684,800",-,-
terryda01,Dalen Terry,"$5,399,118","Q$7,661,349",-,-
bealbr01,Bradley Beal,"$5,354,000","P$5,621,700",-,-
reedpa01,Paul Reed,"$5,335,894","$5,602,689",-,-
UNMAPPED,Dereck Lively,"$5,253,191","$7,238,897","Q$10,684,611",-
UNMAPPED,Nikola Topic,"$5,182,920","$5,429,760","T$7,482,209","Q$11,043,740"
queende01,Derik Queen,"$5,157,960","$5,416,080","T$5,673,840","T$8,107,918"
smartma01,Marcus Smart,"$5,134,000","P$5,390,700",-,-
UNMAPPED,Kevin Porter,"$5,134,000","P$5,390,700",-,-
wagnemo01,Moritz Wagner,"$5,000,000",-,-,-
richani01,Nick Richards,"$5,000,000",-,-,-
drumman01,Andre Drummond,"$5,000,000",-,-,-
dickgr01,Gradey Dick,"$4,990,379","$7,131,251","Q$10,575,645",-
branhma01,Malaki Branham,"$4,962,033","Q$7,110,593",-,-
cartede01,Devin Carter,"$4,923,720","$5,158,080","T$7,370,896","Q$10,931,038"
braunch01,Christian Braun,"$4,921,797","$21,551,726","$23,275,863","$25,000,000"
bryanca01,Carter Bryant,"$4,900,320","$5,145,360","T$5,390,640","T$7,983,539"
kesslwa01,Walker Kessler,"$4,878,938","Q$7,064,703",-,-
hawkijo01,Jordan Hawkins,"$4,741,216","$7,021,740","Q$10,469,414",-
UNMAPPED,C. Carrington,"$4,677,600","$4,900,560","T$7,257,729","Q$10,821,273"
UNMAPPED,Thomas Sorber,"$4,655,040","$4,887,720","T$5,120,400","T$7,849,573"
bufkiko01,Kobe Bufkin,"$4,503,668",-,-,-
alvarjo01,Jose Alvarado,"$4,500,000","P$4,500,000",-,-
UNMAPPED,Nikola Jovic,"$4,445,417","$16,200,000","$14,904,000","$15,096,000"
wareke01,Kel'el Ware,"$4,443,360","$4,654,920","T$7,135,992","Q$10,689,716"
UNMAPPED,Hansen Yang,"$4,422,360","$4,643,520","T$4,864,920","T$7,462,788"
watsope01,Peyton Watson,"$4,356,476","Q$6,534,714",-,-
mcbrimi01,Miles McBride,"$4,333,333","$3,956,523",-,-
